src_YearID	nbr_YearID
2001_1	2001_1483
2001_2	2001_1483
2001_3	2001_1483
2001_4	2001_1483
2001_5	2001_1483
2001_6	2001_1483
2001_7	2001_1483
2001_8	2001_1483
2001_9	2001_1483
2001_10	2001_1483
2001_11	2001_1483
2001_12	2001_1080
2001_13	2001_1483
2001_14	2001_1080
2001_15	2001_1483
2001_16	2001_1483
2001_17	2001_1483
2001_18	2001_1483
2001_19	2001_1483
2001_20	2001_1093
2001_21	2001_1483
2001_22	2001_1483
2001_23	2001_1483
2001_24	2001_1483
2001_25	2001_1483
2001_26	2001_1483
2001_27	2001_1483
2001_28	2001_1483
2001_29	2001_1483
2001_30	2001_1483
2001_31	2001_1483
2001_32	2001_1483
2001_33	2001_1483
2001_34	2001_1483
2001_35	2001_1483
2001_36	2001_1483
2001_37	2001_1483
2001_38	2001_1483
2001_39	2001_1483
2001_40	2001_1483
2001_41	2001_1483
2001_42	2001_1483
2001_43	2001_1483
2001_44	2001_1483
2001_45	2001_1483
2001_46	2001_1483
2001_47	2001_1483
2001_48	2001_1105
2001_48	2001_1483
2001_49	2001_1483
2001_50	2001_1483
2001_51	2001_1483
2001_52	2001_1483
2001_53	2001_1110
2001_53	2001_1483
2001_54	2001_1483
2001_55	2001_1104
2001_55	2001_1483
2001_56	2001_1483
2001_57	2001_1483
2001_58	2001_1483
2001_59	2001_1110
2001_59	2001_1483
2001_60	2001_1483
2001_61	2001_1483
2001_62	2001_1483
2001_63	2001_1483
2001_64	2001_1483
2001_65	2001_1483
2001_66	2001_1483
2001_66	2001_1598
2001_67	2001_1483
2001_68	2001_1483
2001_69	2001_1483
2001_70	2001_1483
2001_71	2001_1483
2001_72	2001_1483
2001_73	2001_1483
2001_74	2001_1483
2001_75	2001_1483
2001_76	2001_1483
2001_77	2001_1483
2001_78	2001_1483
2001_79	2001_1483
2001_80	2001_1483
2001_81	2001_1483
2001_82	2001_1483
2001_83	2001_1483
2001_84	2001_1483
2001_85	2001_1483
2001_86	2001_1483
2001_87	2001_1483
2001_88	2001_1483
2001_89	2001_1483
2001_90	2001_1483
2001_91	2001_1121
2001_91	2001_1483
2001_92	2001_1483
2001_93	2001_1483
2001_94	2001_1483
2001_95	2001_1483
2001_95	2001_1598
2001_96	2001_1483
2001_97	2001_1483
2001_98	2001_1483
2001_99	2001_1483
2001_100	2001_1483
2001_101	2001_1483
2001_102	2001_1483
2001_103	2001_1483
2001_104	2001_1483
2001_105	2001_1483
2001_106	2001_1483
2001_107	2001_1483
2001_108	2001_1483
2001_109	2001_1483
2001_110	2001_1483
2001_111	2001_1483
2001_112	2001_1483
2001_113	2001_1483
2001_114	2001_1483
2001_115	2001_1483
2001_116	2001_1483
2001_117	2001_1483
2001_118	2001_1483
2001_119	2001_1483
2001_120	2001_1483
2001_121	2001_1483
2001_122	2001_1483
2001_123	2001_1483
2001_124	2001_1483
2001_125	2001_1483
2001_126	2001_1483
2001_127	2001_1483
2001_128	2001_1483
2001_129	2001_1483
2001_130	2001_1483
2001_131	2001_1483
2001_132	2001_1483
2001_132	2001_1611
2001_133	2001_1483
2001_134	2001_1483
2001_135	2001_1483
2001_136	2001_1483
2001_137	2001_1483
2001_138	2001_1483
2001_139	2001_1483
2001_140	2001_1483
2001_141	2001_1483
2001_142	2001_1483
2001_143	2001_1483
2001_144	2001_1483
2001_145	2001_1483
2001_146	2001_1483
2001_147	2001_1483
2001_148	2001_1483
2001_149	2001_1483
2001_150	2001_1483
2001_151	2001_1483
2001_152	2001_1483
2001_153	2001_1483
2001_154	2001_1483
2001_155	2001_1483
2001_156	2001_1483
2001_157	2001_1483
2001_158	2001_1483
2001_159	2001_1123
2001_159	2001_1124
2001_159	2001_1126
2001_159	2001_1128
2001_159	2001_1483
2001_160	2001_1132
2001_160	2001_1483
2001_161	2001_1483
2001_162	2001_1133
2001_162	2001_1483
2001_163	2001_1483
2001_164	2001_1483
2001_165	2001_1131
2001_165	2001_1483
2001_166	2001_1483
2001_167	2001_1483
2001_168	2001_1483
2001_169	2001_1128
2001_169	2001_1483
2001_169	2001_1620
2001_170	2001_1483
2001_171	2001_1483
2001_172	2001_1483
2001_173	2001_1483
2001_174	2001_1483
2001_175	2001_1483
2001_175	2001_1632
2001_176	2001_1138
2001_176	2001_1483
2001_177	2001_1483
2001_178	2001_1483
2001_179	2001_1483
2001_180	2001_1483
2001_181	2001_1483
2001_182	2001_1483
2001_183	2001_1483
2001_184	2001_1483
2001_185	2001_1483
2001_185	2001_1640
2001_186	2001_1483
2001_187	2001_1483
2001_188	2001_1483
2001_189	2001_1483
2001_190	2001_1483
2001_191	2001_1483
2001_192	2001_1483
2001_193	2001_1483
2001_194	2001_1483
2001_195	2001_1483
2001_196	2001_1148
2001_196	2001_1483
2001_196	2001_1648
2001_196	2001_1651
2001_197	2001_1483
2001_198	2001_1483
2001_199	2001_1483
2001_200	2001_1483
2001_201	2001_1483
2001_202	2001_1483
2001_203	2001_1127
2001_203	2001_1130
2001_203	2001_1135
2001_203	2001_1136
2001_203	2001_1140
2001_203	2001_1483
2001_203	2001_1506
2001_204	2001_1483
2001_205	2001_1483
2001_206	2001_1483
2001_207	2001_1483
2001_208	2001_1483
2001_209	2001_1483
2001_209	2001_1648
2001_210	2001_1483
2001_211	2001_1483
2001_212	2001_1483
2001_212	2001_1664
2001_213	2001_1483
2001_214	2001_1483
2001_215	2001_1144
2001_215	2001_1145
2001_215	2001_1151
2001_215	2001_1152
2001_215	2001_1156
2001_215	2001_1164
2001_215	2001_1483
2001_216	2001_1483
2001_217	2001_1483
2001_218	2001_1483
2001_219	2001_1483
2001_220	2001_1483
2001_221	2001_1483
2001_222	2001_1483
2001_223	2001_1174
2001_224	2001_1483
2001_225	2001_1483
2001_226	2001_1483
2001_227	2001_1483
2001_228	2001_1483
2001_229	2001_1129
2001_229	2001_1149
2001_229	2001_1157
2001_229	2001_1483
2001_230	2001_1483
2001_231	2001_1483
2001_232	2001_1483
2001_233	2001_1483
2001_234	2001_1483
2001_235	2001_1483
2001_236	2001_1147
2001_236	2001_1155
2001_236	2001_1159
2001_236	2001_1163
2001_236	2001_1165
2001_236	2001_1166
2001_236	2001_1170
2001_236	2001_1483
2001_237	2001_1483
2001_238	2001_1483
2001_239	2001_1483
2001_240	2001_1483
2001_241	2001_1483
2001_242	2001_1483
2001_243	2001_1483
2001_244	2001_1483
2001_245	2001_1483
2001_246	2001_1483
2001_247	2001_1483
2001_248	2001_1483
2001_249	2001_1483
2001_250	2001_1483
2001_251	2001_1483
2001_252	2001_1483
2001_253	2001_1483
2001_254	2001_1483
2001_255	2001_1483
2001_256	2001_1483
2001_257	2001_1483
2001_258	2001_1483
2001_258	2001_1696
2001_259	2001_1483
2001_260	2001_1483
2001_261	2001_1483
2001_262	2001_1483
2001_262	2001_1696
2001_263	2001_1483
2001_264	2001_1483
2001_265	2001_1483
2001_266	2001_1179
2001_266	2001_1483
2001_267	2001_1483
2001_268	2001_1483
2001_269	2001_1483
2001_270	2001_1483
2001_271	2001_1483
2001_272	2001_1483
2001_273	2001_1483
2001_274	2001_1483
2001_275	2001_1483
2001_276	2001_1483
2001_277	2001_1483
2001_278	2001_1483
2001_279	2001_1483
2001_280	2001_1483
2001_281	2001_1483
2001_282	2001_1483
2001_283	2001_1192
2001_283	2001_1483
2001_284	2001_1483
2001_284	2001_1696
2001_285	2001_1483
2001_286	2001_1483
2001_287	2001_1203
2001_287	2001_1483
2001_288	2001_1483
2001_289	2001_1483
2001_290	2001_1483
2001_291	2001_1483
2001_292	2001_1483
2001_293	2001_1483
2001_293	2001_1696
2001_294	2001_1483
2001_295	2001_1203
2001_295	2001_1483
2001_296	2001_1483
2001_297	2001_1483
2001_298	2001_1483
2001_299	2001_1483
2001_300	2001_1483
2001_301	2001_1483
2001_302	2001_1483
2001_303	2001_1483
2001_304	2001_1483
2001_305	2001_1483
2001_306	2001_1483
2001_307	2001_1483
2001_308	2001_1483
2001_309	2001_1483
2001_310	2001_1483
2001_311	2001_1483
2001_312	2001_1483
2001_313	2001_1483
2001_314	2001_1483
2001_315	2001_1483
2001_316	2001_1483
2001_317	2001_1483
2001_318	2001_1483
2001_319	2001_1483
2001_320	2001_1483
2001_321	2001_1483
2001_322	2001_1483
2001_323	2001_1228
2001_323	2001_1483
2001_324	2001_1483
2001_325	2001_1483
2001_326	2001_1227
2001_326	2001_1483
2001_327	2001_1483
2001_328	2001_1483
2001_329	2001_1483
2001_330	2001_1483
2001_331	2001_1483
2001_332	2001_1483
2001_333	2001_1483
2001_334	2001_1483
2001_335	2001_1483
2001_336	2001_1483
2001_337	2001_1483
2001_338	2001_1483
2001_339	2001_1483
2001_340	2001_1483
2001_341	2001_1483
2001_342	2001_1483
2001_343	2001_1483
2001_344	2001_1483
2001_345	2001_1483
2001_346	2001_1483
2001_347	2001_1483
2001_348	2001_1483
2001_349	2001_1483
2001_350	2001_1483
2001_351	2001_1483
2001_352	2001_1483
2001_353	2001_1219
2001_353	2001_1483
2001_354	2001_1483
2001_355	2001_1483
2001_356	2001_1483
2001_357	2001_1483
2001_358	2001_1228
2001_358	2001_1237
2001_358	2001_1483
2001_359	2001_1483
2001_360	2001_1483
2001_361	2001_1483
2001_361	2001_2008
2001_362	2001_1483
2001_363	2001_1483
2001_364	2001_1483
2001_365	2001_1252
2001_365	2001_1483
2001_366	2001_1483
2001_367	2001_1483
2001_368	2001_1483
2001_369	2001_1483
2001_370	2001_1483
2001_371	2001_1483
2001_372	2001_1262
2001_373	2001_2013
2001_374	2001_1483
2001_375	2001_1483
2001_376	2001_1250
2001_376	2001_1483
2001_376	2001_2021
2001_377	2001_1483
2001_378	2001_1483
2001_379	2001_1483
2001_380	2001_1483
2001_381	2001_1483
2001_382	2001_1483
2001_383	2001_1483
2001_384	2001_1260
2001_385	2001_1483
2001_386	2001_1204
2001_386	2001_1207
2001_386	2001_1211
2001_386	2001_1213
2001_386	2001_1216
2001_386	2001_1218
2001_386	2001_1229
2001_386	2001_1235
2001_386	2001_1244
2001_386	2001_1246
2001_386	2001_1248
2001_386	2001_1483
2001_387	2001_1483
2001_388	2001_1483
2001_389	2001_1483
2001_390	2001_1483
2001_391	2001_1483
2001_392	2001_1180
2001_392	2001_1182
2001_392	2001_1183
2001_392	2001_1190
2001_392	2001_1193
2001_392	2001_1208
2001_392	2001_1223
2001_392	2001_1233
2001_392	2001_1247
2001_392	2001_1251
2001_392	2001_1483
2001_393	2001_1281
2001_393	2001_1483
2001_394	2001_1483
2001_395	2001_1483
2001_396	2001_1483
2001_397	2001_1483
2001_398	2001_1483
2001_399	2001_1264
2001_399	2001_1483
2001_400	2001_1483
2001_401	2001_1483
2001_402	2001_1264
2001_402	2001_1483
2001_403	2001_1483
2001_404	2001_1281
2001_404	2001_1483
2001_405	2001_1273
2001_406	2001_1483
2001_407	2001_1483
2001_408	2001_1266
2001_408	2001_1483
2001_409	2001_1483
2001_410	2001_1483
2001_411	2001_1483
2001_412	2001_1252
2001_412	2001_1483
2001_413	2001_1483
2001_414	2001_1483
2001_415	2001_1483
2001_416	2001_1483
2001_417	2001_1483
2001_418	2001_1483
2001_419	2001_1259
2001_419	2001_1263
2001_419	2001_1267
2001_419	2001_1483
2001_420	2001_1483
2001_421	2001_1483
2001_422	2001_1483
2001_423	2001_1483
2001_424	2001_1483
2001_425	2001_1483
2001_426	2001_1483
2001_427	2001_1483
2001_428	2001_1483
2001_429	2001_1483
2001_430	2001_1483
2001_431	2001_1410
2001_432	2001_1241
2001_432	2001_1262
2001_432	2001_1271
2001_432	2001_1483
2001_433	2001_1483
2001_434	2001_1483
2001_435	2001_1483
2001_435	2001_1731
2001_436	2001_1410
2001_437	2001_1483
2001_438	2001_1483
2001_439	2001_1483
2001_440	2001_1483
2001_441	2001_1483
2001_442	2001_1410
2001_443	2001_1483
2001_444	2001_1483
2001_445	2001_1483
2001_446	2001_1483
2001_447	2001_1483
2001_448	2001_1483
2001_449	2001_1483
2001_450	2001_1483
2001_451	2001_1483
2001_452	2001_1483
2001_453	2001_1410
2001_454	2001_1286
2001_454	2001_1483
2001_455	2001_1483
2001_456	2001_1483
2001_457	2001_1483
2001_458	2001_1483
2001_459	2001_1483
2001_460	2001_1483
2001_461	2001_1483
2001_462	2001_1483
2001_463	2001_1410
2001_464	2001_1483
2001_465	2001_1483
2001_466	2001_1483
2001_467	2001_1483
2001_467	2001_2036
2001_468	2001_1483
2001_469	2001_1410
2001_470	2001_1483
2001_471	2001_1483
2001_472	2001_1483
2001_473	2001_1483
2001_474	2001_1265
2001_474	2001_1268
2001_474	2001_1269
2001_474	2001_1274
2001_474	2001_1277
2001_474	2001_1280
2001_474	2001_1287
