src_YearID	nbr_YearID
2019_1	2019_2
2019_2	2019_4
2019_3	2019_4
2019_4	2019_284
2019_5	2019_284
2019_6	2019_7
2019_6	2019_17
2019_6	2019_37
2019_7	2019_17
2019_7	2019_2703
2019_8	2019_37
2019_9	2019_17
2019_10	2019_12
2019_10	2019_17
2019_10	2019_2703
2019_11	2019_284
2019_12	2019_17
2019_12	2019_19
2019_12	2019_2703
2019_13	2019_2703
2019_14	2019_284
2019_15	2019_284
2019_16	2019_284
2019_17	2019_19
2019_17	2019_37
2019_17	2019_284
2019_18	2019_2703
2019_19	2019_2703
2019_20	2019_2703
2019_21	2019_284
2019_22	2019_37
2019_23	2019_2703
2019_24	2019_2703
2019_25	2019_2703
2019_26	2019_284
2019_27	2019_284
2019_28	2019_2703
2019_29	2019_2703
2019_30	2019_2703
2019_31	2019_284
2019_32	2019_284
2019_33	2019_36
2019_33	2019_2703
2019_34	2019_2703
2019_35	2019_2703
2019_36	2019_2703
2019_37	2019_49
2019_37	2019_2703
2019_38	2019_2703
2019_39	2019_2703
2019_40	2019_2703
2019_41	2019_284
2019_42	2019_2703
2019_43	2019_2703
2019_44	2019_284
2019_45	2019_2703
2019_46	2019_284
2019_47	2019_177
2019_47	2019_2703
2019_48	2019_2703
2019_49	2019_2703
2019_50	2019_244
2019_51	2019_284
2019_52	2019_106
2019_52	2019_244
2019_53	2019_2703
2019_54	2019_2703
2019_55	2019_284
2019_56	2019_244
2019_57	2019_2703
2019_58	2019_2703
2019_59	2019_284
2019_60	2019_2703
2019_61	2019_284
2019_62	2019_2703
2019_63	2019_2703
2019_64	2019_106
2019_65	2019_2703
2019_66	2019_83
2019_67	2019_284
2019_68	2019_284
2019_69	2019_2703
2019_70	2019_284
2019_71	2019_2703
2019_72	2019_284
2019_73	2019_2703
2019_74	2019_2703
2019_75	2019_2703
2019_76	2019_2703
2019_77	2019_284
2019_78	2019_2703
2019_79	2019_84
2019_79	2019_177
2019_79	2019_2703
2019_80	2019_244
2019_81	2019_284
2019_81	2019_2703
2019_82	2019_2703
2019_83	2019_2703
2019_84	2019_85
2019_84	2019_2703
2019_85	2019_2703
2019_86	2019_2703
2019_87	2019_2703
2019_88	2019_2703
2019_89	2019_2703
2019_90	2019_177
2019_91	2019_2703
2019_92	2019_2703
2019_93	2019_106
2019_94	2019_101
2019_94	2019_2703
2019_95	2019_2703
2019_96	2019_244
2019_97	2019_177
2019_98	2019_177
2019_98	2019_2703
2019_99	2019_2703
2019_100	2019_2703
2019_101	2019_2703
2019_102	2019_2703
2019_103	2019_170
2019_104	2019_170
2019_105	2019_170
2019_106	2019_244
2019_107	2019_109
2019_107	2019_244
2019_108	2019_2703
2019_109	2019_244
2019_110	2019_2703
2019_111	2019_2703
2019_112	2019_2703
2019_113	2019_2703
2019_114	2019_2703
2019_115	2019_2703
2019_116	2019_2703
2019_117	2019_2703
2019_118	2019_2703
2019_119	2019_2703
2019_120	2019_244
2019_121	2019_2703
2019_122	2019_244
2019_123	2019_244
2019_124	2019_2703
2019_125	2019_177
2019_126	2019_134
2019_126	2019_244
2019_127	2019_2703
2019_128	2019_2703
2019_129	2019_2703
2019_130	2019_2703
2019_131	2019_244
2019_132	2019_2703
2019_133	2019_244
2019_134	2019_244
2019_135	2019_284
2019_136	2019_170
2019_137	2019_244
2019_138	2019_244
2019_139	2019_284
2019_140	2019_2703
2019_141	2019_2703
2019_142	2019_2703
2019_143	2019_284
2019_144	2019_2703
2019_145	2019_2703
2019_146	2019_244
2019_147	2019_2703
2019_148	2019_244
2019_149	2019_244
2019_150	2019_284
2019_151	2019_284
2019_152	2019_284
2019_153	2019_2703
2019_154	2019_2703
2019_155	2019_284
2019_156	2019_284
2019_157	2019_284
2019_158	2019_2703
2019_159	2019_284
2019_160	2019_284
2019_161	2019_2703
2019_162	2019_2703
2019_163	2019_220
2019_164	2019_2703
2019_165	2019_284
2019_166	2019_284
2019_166	2019_2703
2019_167	2019_284
2019_168	2019_2703
2019_169	2019_2703
2019_170	2019_2703
2019_171	2019_2703
2019_172	2019_2703
2019_173	2019_2703
2019_174	2019_184
2019_174	2019_2703
2019_175	2019_244
2019_176	2019_2703
2019_177	2019_2703
2019_178	2019_2703
2019_179	2019_2703
2019_180	2019_2703
2019_181	2019_2703
2019_182	2019_2703
2019_183	2019_2703
2019_184	2019_304
2019_185	2019_2703
2019_186	2019_284
2019_187	2019_2703
2019_188	2019_2703
2019_189	2019_2703
2019_190	2019_304
2019_191	2019_284
2019_192	2019_280
2019_193	2019_2703
2019_194	2019_2703
2019_195	2019_2703
2019_196	2019_284
2019_197	2019_2703
2019_198	2019_2703
2019_199	2019_2703
2019_200	2019_2703
2019_201	2019_2703
2019_202	2019_284
2019_203	2019_284
2019_204	2019_2703
2019_205	2019_215
2019_205	2019_2703
2019_206	2019_2703
2019_207	2019_2703
2019_208	2019_2703
2019_209	2019_2703
2019_210	2019_2703
2019_211	2019_2703
2019_212	2019_2703
2019_213	2019_2703
2019_214	2019_250
2019_215	2019_2703
2019_216	2019_284
2019_217	2019_2703
2019_218	2019_2703
2019_219	2019_2703
2019_220	2019_2703
2019_221	2019_2703
2019_222	2019_2703
2019_223	2019_2703
2019_224	2019_304
2019_225	2019_304
2019_226	2019_2703
2019_227	2019_284
2019_228	2019_2703
2019_229	2019_2703
2019_230	2019_2703
2019_231	2019_2703
2019_232	2019_2703
2019_233	2019_2703
2019_234	2019_244
2019_235	2019_2703
2019_236	2019_2703
2019_237	2019_2703
2019_238	2019_2703
2019_239	2019_2703
2019_240	2019_280
2019_240	2019_2703
2019_241	2019_2703
2019_242	2019_473
2019_242	2019_2703
2019_243	2019_2703
2019_244	2019_284
2019_245	2019_2703
2019_246	2019_2703
2019_247	2019_2703
2019_248	2019_2703
2019_249	2019_2703
2019_250	2019_2703
2019_251	2019_2703
2019_252	2019_304
2019_253	2019_2703
2019_254	2019_2703
2019_255	2019_273
2019_256	2019_264
2019_256	2019_2703
2019_257	2019_2703
2019_258	2019_304
2019_259	2019_2703
2019_260	2019_2703
2019_261	2019_2703
2019_262	2019_2703
2019_263	2019_270
2019_263	2019_2703
2019_264	2019_315
2019_265	2019_2703
2019_266	2019_2703
2019_267	2019_2703
2019_268	2019_2703
2019_269	2019_2703
2019_270	2019_273
2019_270	2019_2703
2019_271	2019_284
2019_272	2019_2703
2019_273	2019_277
2019_273	2019_2703
2019_274	2019_2703
2019_275	2019_2703
2019_276	2019_2703
2019_277	2019_2703
2019_278	2019_2703
2019_279	2019_2703
2019_280	2019_2703
2019_281	2019_2703
2019_282	2019_2703
2019_283	2019_2703
2019_284	2019_2703
2019_285	2019_2703
2019_286	2019_321
2019_287	2019_2703
2019_288	2019_2703
2019_289	2019_2703
2019_290	2019_2703
2019_291	2019_2703
2019_292	2019_473
2019_293	2019_2703
2019_294	2019_2703
2019_295	2019_2703
2019_296	2019_2703
2019_297	2019_2703
2019_298	2019_2703
2019_299	2019_2703
2019_300	2019_2703
2019_301	2019_473
2019_302	2019_2703
2019_303	2019_2703
2019_304	2019_2703
2019_305	2019_2703
2019_306	2019_2703
2019_307	2019_2703
2019_308	2019_2703
2019_309	2019_2703
2019_310	2019_2703
2019_311	2019_2703
2019_312	2019_473
2019_313	2019_2703
2019_314	2019_2703
2019_315	2019_2703
2019_316	2019_2703
2019_317	2019_330
2019_317	2019_432
2019_318	2019_330
2019_318	2019_432
2019_318	2019_473
2019_318	2019_2703
2019_319	2019_2703
2019_320	2019_326
2019_320	2019_473
2019_320	2019_2703
2019_321	2019_2703
2019_322	2019_2703
2019_323	2019_2703
2019_324	2019_2703
2019_325	2019_2703
2019_326	2019_473
2019_326	2019_2703
2019_327	2019_2703
2019_328	2019_2703
2019_329	2019_2703
2019_330	2019_432
2019_330	2019_473
2019_330	2019_2703
2019_331	2019_338
2019_331	2019_369
2019_332	2019_335
2019_332	2019_338
2019_332	2019_369
2019_333	2019_2703
2019_334	2019_2703
2019_335	2019_369
2019_336	2019_2703
2019_337	2019_2703
2019_338	2019_350
2019_338	2019_369
2019_338	2019_2703
2019_339	2019_473
2019_340	2019_2703
2019_341	2019_2703
2019_342	2019_2703
2019_343	2019_2703
2019_344	2019_432
2019_345	2019_2703
2019_346	2019_2703
2019_347	2019_362
2019_347	2019_369
2019_348	2019_375
2019_348	2019_2703
2019_349	2019_2703
2019_350	2019_362
2019_350	2019_369
2019_350	2019_2703
2019_351	2019_2703
2019_352	2019_2703
2019_353	2019_2703
2019_354	2019_2703
2019_355	2019_2703
2019_357	2019_2703
2019_358	2019_2703
2019_359	2019_2703
2019_360	2019_2703
2019_361	2019_2703
2019_362	2019_369
2019_362	2019_2703
2019_363	2019_2703
2019_364	2019_2703
2019_365	2019_2703
2019_366	2019_2703
2019_367	2019_2703
2019_368	2019_369
2019_368	2019_378
2019_368	2019_379
2019_369	2019_378
2019_369	2019_379
2019_369	2019_2703
2019_370	2019_2703
2019_371	2019_2703
2019_372	2019_2703
2019_373	2019_2703
2019_374	2019_432
2019_375	2019_2703
2019_376	2019_2703
2019_377	2019_2703
2019_380	2019_2703
2019_381	2019_387
2019_381	2019_2703
2019_382	2019_2703
2019_383	2019_2703
2019_384	2019_2703
2019_385	2019_473
2019_386	2019_2703
2019_387	2019_2703
2019_388	2019_406
2019_389	2019_432
2019_390	2019_2703
2019_391	2019_2703
2019_392	2019_2703
2019_393	2019_2703
2019_394	2019_2703
2019_395	2019_2703
2019_396	2019_2703
2019_397	2019_2703
2019_398	2019_2703
2019_399	2019_725
2019_400	2019_2703
2019_401	2019_478
2019_402	2019_473
2019_402	2019_2703
2019_403	2019_2703
2019_404	2019_2703
2019_406	2019_2703
2019_407	2019_2703
2019_408	2019_2703
2019_409	2019_432
2019_410	2019_2703
2019_411	2019_433
2019_412	2019_2703
2019_413	2019_2703
2019_414	2019_2703
2019_415	2019_2703
2019_416	2019_2703
2019_417	2019_2703
2019_418	2019_2703
2019_419	2019_448
2019_419	2019_2703
2019_420	2019_848
2019_420	2019_2703
2019_421	2019_2703
2019_422	2019_725
2019_423	2019_439
2019_423	2019_473
2019_423	2019_523
2019_423	2019_2703
2019_424	2019_2703
2019_425	2019_2703
2019_426	2019_725
2019_427	2019_725
2019_427	2019_2703
2019_429	2019_2703
2019_430	2019_2703
2019_431	2019_2703
2019_432	2019_2703
2019_433	2019_2703
2019_434	2019_2703
2019_436	2019_2703
2019_437	2019_2703
2019_438	2019_2703
2019_439	2019_449
2019_439	2019_457
2019_439	2019_523
2019_439	2019_2703
2019_440	2019_2703
2019_441	2019_2703
2019_442	2019_515
2019_443	2019_2703
2019_444	2019_2703
2019_445	2019_473
2019_445	2019_523
2019_446	2019_2703
2019_447	2019_2703
2019_448	2019_2703
2019_449	2019_457
2019_449	2019_465
2019_449	2019_523
2019_449	2019_634
2019_451	2019_2703
2019_452	2019_2703
2019_453	2019_2703
2019_454	2019_725
2019_455	2019_2703
2019_456	2019_2703
2019_457	2019_634
2019_457	2019_2703
2019_458	2019_613
2019_458	2019_2703
2019_459	2019_2703
2019_460	2019_2703
2019_461	2019_482
2019_461	2019_2703
2019_462	2019_2703
2019_463	2019_2703
2019_464	2019_515
2019_465	2019_523
2019_465	2019_634
2019_466	2019_2703
