YearID	gridcode	Shape_Leng	Shape_Area	year
2001_1	1	24865.47	14243281.38	2001
2001_2	1	17265.57	7577322.96	2001
2001_3	1	9510.69	2754896.93	2001
2001_4	1	7590.85	2753802.37	2001
2001_5	1	37126.26	24567923.94	2001
2001_6	1	11589.3	4361199.96	2001
2001_7	1	7593.2	2525932.23	2001
2001_8	1	7671.58	2294834.25	2001
2001_9	1	10508.85	3442854.61	2001
2001_10	1	10588.01	3441784.43	2001
2001_11	1	43535.14	16057874.23	2001
2001_12	1	12509.88	3673306.02	2001
2001_13	1	28432.5	11236790.05	2001
2001_14	1	23694.81	10102723.5	2001
2001_15	1	63751.08	35056642.68	2001
2001_16	1	40856.34	14220796.5	2001
2001_17	1	10494.96	3205089.75	2001
2001_18	1	9497	2748121.3	2001
2001_19	1	10496.79	2977277.75	2001
2001_20	1	7587.79	2523532.83	2001
2001_21	1	23901.79	13961914.66	2001
2001_22	1	13412.84	5955012.78	2001
2001_23	1	14409.51	7097241.78	2001
2001_24	1	83802.99	37096717.96	2001
2001_25	1	18087.16	7794920.88	2001
2001_26	1	9494.2	4120109.64	2001
2001_27	1	10577.53	3204740.9	2001
2001_28	1	28577.96	11454346.46	2001
2001_29	1	173075.26	102881218.1	2001
2001_30	1	15070.63	6178267.68	2001
2001_31	1	16232.22	8232110.25	2001
2001_32	1	10412.61	4351670.84	2001
2001_33	1	8579.83	2976860.47	2001
2001_34	1	15410.64	6181822.51	2001
2001_35	1	42827.11	19017522.99	2001
2001_36	1	42850.77	33357908.6	2001
2001_37	1	12398.18	4798419.84	2001
2001_38	1	181021.84	120705936.9	2001
2001_39	1	33308.52	17621628.91	2001
2001_40	1	23707.18	12104639.89	2001
2001_41	1	35561.88	14646309.33	2001
2001_42	1	7658.73	3430164.22	2001
2001_43	1	21785.91	17118415.52	2001
2001_44	1	10482.3	3197816.03	2001
2001_45	1	27803.71	11661091.07	2001
2001_46	1	12490.41	4346598.28	2001
2001_47	1	11390.98	5020247.38	2001
2001_48	1	75183.65	44516044.3	2001
2001_49	1	7649.96	2965870.9	2001
2001_50	1	17132.98	5479118.72	2001
2001_51	1	16213.25	5931594.97	2001
2001_52	1	20971.8	9828924.75	2001
2001_53	1	53405.6	31288031.7	2001
2001_54	1	12295.19	5240946.36	2001
2001_55	1	121645.61	100087805.7	2001
2001_56	1	19967.96	7997003.04	2001
2001_57	1	41080.32	18027337.33	2001
2001_58	1	7565.72	2510567.39	2001
2001_59	1	33439.89	16211480.42	2001
2001_60	1	11381.81	3189862.94	2001
2001_61	1	14298.05	5017221.9	2001
2001_62	1	13219.94	5935415.49	2001
2001_63	1	9394.16	3196412.3	2001
2001_64	1	21139.52	7768892.56	2001
2001_65	1	13469.19	5243882.49	2001
2001_66	1	41710.77	26774861.72	2001
2001_67	1	22953.28	7302290.57	2001
2001_68	1	63714.42	30145597.71	2001
2001_69	1	9560.34	3648477.28	2001
2001_70	1	20945.62	11400834.88	2001
2001_71	1	21897.08	10525763.1	2001
2001_72	1	29616.32	14845162.2	2001
2001_73	1	8554.52	2276858.98	2001
2001_74	1	21041.04	6618086.03	2001
2001_75	1	14373.44	3415611.88	2001
2001_76	1	28657.9	18213100.06	2001
2001_77	1	8562.34	2509105.13	2001
2001_78	1	8566.82	2740044.05	2001
2001_79	1	17292.62	8662655.55	2001
2001_80	1	15303.77	6390986.06	2001
2001_81	1	13208.79	4786926.07	2001
2001_82	1	18125	8668799.55	2001
2001_83	1	19121.26	7297401.29	2001
2001_84	1	17280.96	5235850.46	2001
2001_85	1	17320.34	8004691.2	2001
2001_86	1	98905.96	55051858.87	2001
2001_87	1	10552.15	2276926.83	2001
2001_88	1	9551.46	2276040.57	2001
2001_89	1	19130.75	9815468.51	2001
2001_90	1	9567.51	2740452.72	2001
2001_91	1	204133.43	162472538.5	2001
2001_92	1	17189.06	6370378.01	2001
2001_93	1	37900.05	18019485.96	2001
2001_94	1	34374.68	13420600.74	2001
2001_95	1	27628.27	15086385.13	2001
2001_96	1	33361.96	21245916.09	2001
2001_97	1	16277.07	6824639.21	2001
2001_98	1	34296.73	22415513.7	2001
2001_99	1	19125.52	6844255.5	2001
2001_100	1	11290.87	3871665.69	2001
2001_101	1	17944.76	7523363.16	2001
2001_102	1	9570.98	2970998.94	2001
2001_103	1	10380.11	4555909.7	2001
2001_104	1	32296.15	11604438.38	2001
2001_105	1	7634.48	2499187.61	2001
2001_106	1	32206.4	15242574.89	2001
2001_107	1	9390.15	2282348.75	2001
2001_108	1	27441	19868275.15	2001
2001_109	1	136287.79	112895257.3	2001
2001_110	1	14304.9	4565593.01	2001
2001_111	1	14270.22	5906628.99	2001
2001_112	1	213570.7	139026711.6	2001
2001_113	1	10469.47	4557756.68	2001
2001_114	1	13358.64	4315627.8	2001
2001_115	1	34412.63	24392918.19	2001
2001_116	1	11487.97	3429566.59	2001
2001_117	1	39946.35	23448888.62	2001
2001_118	1	24787.65	14615237.39	2001
2001_119	1	21090.03	7729881.78	2001
2001_120	1	28621.13	10052385.9	2001
2001_121	1	17284.18	7058570.26	2001
2001_122	1	25749.08	7740779.29	2001
2001_123	1	8566.48	2740103.96	2001
2001_124	1	19125.11	5246922.6	2001
2001_125	1	14174.92	5900613.74	2001
2001_126	1	11662.36	3886461.28	2001
2001_127	1	51905.05	36108420.9	2001
2001_128	1	9663.45	2973884.12	2001
2001_129	1	15467.19	5469064.68	2001
2001_130	1	14261.06	6806624.91	2001
2001_131	1	8564.85	2510797.04	2001
2001_132	1	7573.28	2287776.42	2001
2001_133	1	31378.51	12509885.86	2001
2001_134	1	19088.82	5454178.03	2001
2001_135	1	78299.95	71813493.07	2001
2001_136	1	71155.58	56952384.08	2001
2001_137	1	15194.07	4779120.01	2001
2001_138	1	16302.95	7074283.1	2001
2001_139	1	10304.83	2968735.92	2001
2001_140	1	10449.49	3859422.47	2001
2001_141	1	18061.38	9606801.33	2001
2001_142	1	38359.09	18413418.01	2001
2001_143	1	20893.73	8168850.9	2001
2001_144	1	128434.84	87598052.94	2001
2001_145	1	18902.43	8853579.83	2001
2001_146	1	181269.48	105615099.1	2001
2001_147	1	22707.44	11655803.4	2001
2001_148	1	15440.39	5903015.66	2001
2001_149	1	26714.27	11200601.2	2001
2001_150	1	12302.26	4108188.89	2001
2001_151	1	26746.6	12747659.92	2001
2001_152	1	8560.94	2736649.3	2001
2001_153	1	22924.88	8649523.61	2001
2001_154	1	14351.26	3858022.91	2001
2001_155	1	12117.45	4331327.16	2001
2001_156	1	33274.29	21362926.88	2001
2001_157	1	11572.77	3655952.69	2001
2001_158	1	72580.9	46988434.21	2001
2001_159	1	191428.28	155869010	2001
2001_160	1	88219.42	82606352.44	2001
2001_161	1	12272.89	3180509.31	2001
2001_162	1	40048.75	20640965.29	2001
2001_163	1	21223.23	7306068.93	2001
2001_164	1	15356.02	7041391.27	2001
2001_165	1	55768.29	23586390.75	2001
2001_166	1	37144.93	20284410.13	2001
2001_167	1	37078.03	17714009.77	2001
2001_168	1	40106.95	19335789.56	2001
2001_169	1	35515.69	24515186.88	2001
2001_170	1	12382.49	3191321.54	2001
2001_171	1	24628.22	10444949.91	2001
2001_172	1	10558.52	2734969.91	2001
2001_173	1	106593.26	86698271.45	2001
2001_174	1	18029.86	8434885.24	2001
2001_175	1	7567.63	2970369.09	2001
2001_176	1	106566.76	79933003.79	2001
2001_177	1	24047.03	9130575.65	2001
2001_178	1	26536.82	17939138.52	2001
2001_179	1	8558.47	2735164.78	2001
2001_180	1	20903.89	6132736.33	2001
2001_181	1	7649.02	2280537.9	2001
2001_182	1	16541.44	5911542.67	2001
2001_183	1	11467.17	4328095.82	2001
2001_184	1	10448.36	3631832.12	2001
2001_185	1	26433.52	13700984.91	2001
2001_186	1	10656.45	4337583.7	2001
2001_187	1	67475.72	39237117.01	2001
2001_188	1	18258.18	6355480.36	2001
2001_189	1	50424.23	28702278.95	2001
2001_190	1	6734.9	2734421.85	2001
2001_191	1	12474.39	3192775.54	2001
2001_192	1	12289.34	3872848.53	2001
2001_193	1	9379.18	2734878.77	2001
2001_194	1	9555.63	4327640.46	2001
2001_195	1	12383.21	4787623.48	2001
2001_196	1	9574.51	3658878.03	2001
